common_name,comment_percent,exclamation_percent,count,url
Semipalmated Sandpiper,7.164887307236098,0.9933774834437072,4215,https://www.allaboutbirds.org/guide/assets/og/75223421-1200px.jpg
Ring-necked Duck,9.423213861856146,1.007556675062973,4213,https://www.allaboutbirds.org/guide/assets/og/75225851-1200px.jpg
Marsh Wren,8.696699590460138,2.7700831024930737,4151,https://www.allaboutbirds.org/guide/assets/og/75236421-1200px.jpg
Mourning Warbler,12.948557089084076,2.3255813953488333,3985,https://www.allaboutbirds.org/guide/assets/og/75217731-1200px.jpg
Blue-headed Vireo,6.111578357162898,7.3394495412844085,3567,https://www.allaboutbirds.org/guide/assets/og/75228421-1200px.jpg
Great Horned Owl,25.35294117647074,4.292343387470999,3400,https://www.allaboutbirds.org/guide/assets/og/525880401-1200px.jpg
Northern Harrier,14.315916641498033,2.7426160337552745,3311,https://www.allaboutbirds.org/guide/assets/og/75712151-1200px.jpg
Purple Finch,22.65934736200082,1.345895020188425,3279,https://www.allaboutbirds.org/guide/assets/og/75714071-1200px.jpg
Pine Siskin,13.282971356625794,3.791469194312796,3177,https://www.allaboutbirds.org/guide/assets/og/75713421-1200px.jpg
Pileated Woodpecker,11.559055118110226,2.9972752043596786,3175,https://www.allaboutbirds.org/guide/assets/og/619541984-1200px.jpg
Philadelphia Vireo,5.318808074335179,5.421686746987952,3121,https://www.allaboutbirds.org/guide/assets/og/75237351-1200px.jpg
Dickcissel,9.695201037613451,4.347826086956523,3084,https://www.allaboutbirds.org/guide/assets/og/75340431-1200px.jpg
Yellow-throated Vireo,6.790123456790099,2.8708133971291905,3078,https://www.allaboutbirds.org/guide/assets/og/75216301-1200px.jpg
